date,temp_max_c,temp_min_c,precip_mm
2026-04-24,37.2,27.6,0
2026-04-25,37.2,27.9,0
2026-04-26,34.7,27.8,0
2026-04-27,32.8,27.6,0
2026-04-28,33.3,27.2,0
2026-04-29,33.0,26.8,0
2026-04-30,32.7,27.0,0
2026-05-01,32.5,28.1,0
2026-05-02,32.7,27.6,0
2026-05-03,32.9,28.5,0
2026-05-04,32.8,28.4,0
2026-05-05,33.1,28.0,0
2026-05-06,33.3,27.0,0
2026-05-07,33.2,26.6,0
2026-05-08,34.2,26.5,0
2026-05-09,36.0,27.1,0
2026-05-10,35.6,27.2,0
