date,temp_max_c,temp_min_c,precip_mm
2026-05-09,36.2,27.9,0
2026-05-10,36.2,27.2,0
2026-05-11,37.8,28.9,0
2026-05-12,34.5,28.4,0
2026-05-13,33.2,29.5,0
2026-05-14,33.5,29.1,0
2026-05-15,33,29,0
2026-05-16,33.8,28.8,0
2026-05-17,33.3,28.6,0
2026-05-18,33.4,28.2,0
2026-05-19,32.4,28.3,0
2026-05-20,33,28.5,0
2026-05-21,33.5,29,0
2026-05-22,33,29.5,0.8
2026-05-23,32,29,6
2026-05-24,32,28,3.6
2026-05-25,31.8,28.1,3.3
